scorer,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160
8,64.67578,510.84766,0.08673096,62.28125,501.83594,0.064331055,55.414062,504.90234,0.056152344,1259.084,146.38965,0.050445557,54.103516,487.17773,0.028762817,48.79883,472.89453,0.06008911,49.166016,501.9287,0.05822754,42.65332,456.28125,0.024856567,30.578125,429.16406,0.031463623,33.23242,448.95703,0.058807373,25.625,444.42188,0.061767578,50.176758,446.6328,0.040924072,59.559082,461.4082,0.068115234,30.558594,446.54688,0.4597168,19.274902,473.9004,0.41430664
9,64.67578,511.45703,0.20251465,62.28125,501.83594,0.06903076,55.414062,515.52344,0.10345459,1259.084,146.3916,0.04724121,54.103516,487.17773,0.027770996,52.258545,473.65625,0.06567383,42.895508,506.16406,0.061676025,44.30298,456.28125,0.02305603,1274.6035,178.7666,0.022399902,41.8125,448.30078,0.03289795,25.625,444.42188,0.05609131,50.22754,463.0703,0.04824829,59.559082,461.4082,0.13671875,31.464844,446.54688,0.4946289,19.274902,477.78516,0.7080078
10,64.67578,510.84766,0.20471191,61.873047,500.1211,0.06762695,55.414062,515.52344,0.053985596,1259.0688,146.41895,0.040863037,53.442383,487.17773,0.030197144,56.429688,477.69434,0.057495117,42.20215,501.9287,0.059173584,45.95117,472.96875,0.036346436,1274.6035,178.7666,0.023529053,41.8125,448.95703,0.043121338,31.851562,448.48047,0.0435791,50.375977,463.0703,0.09777832,59.559082,461.4082,0.16186523,36.658203,446.54688,0.6538086,19.274902,468.87646,0.84716797
11,64.67578,510.84766,0.3972168,61.09668,499.8047,0.101623535,55.414062,515.52344,0.12597656,1259.0688,146.4961,0.044555664,53.442383,487.17773,0.02609253,56.429688,483.79163,0.05734253,40.003906,501.9287,0.056884766,58.14453,474.73535,0.042175293,1274.6035,178.7666,0.024932861,43.713867,448.30078,0.026855469,39.109375,448.48047,0.060943604,50.375977,469.76367,0.066589355,59.559082,464.2422,0.15490723,37.18164,453.3711,0.46166992,22.0,468.87646,0.6923828
12,16.398438,419.6206,0.5288086,59.730713,499.53125,0.05819702,54.878906,512.59375,0.07940674,50.628906,467.34473,0.054351807,53.442383,488.84375,0.03933716,55.828125,483.79163,0.031921387,39.375,501.9287,0.11230469,45.95117,476.0785,0.026153564,46.203125,445.06445,0.02444458,49.429688,446.35938,0.058685303,41.554688,461.2871,0.09472656,58.94629,471.24023,0.08532715,59.559082,461.4082,0.19543457,48.55078,454.39062,0.4663086,47.371094,434.85547,0.29296875
13,16.398438,419.6206,0.9663086,7.6289062,410.3125,0.15490723,54.375,512.59375,0.13269043,50.30664,467.34473,0.07501221,44.06476,491.01904,0.07305908,55.828125,483.79163,0.07183838,37.03418,491.8175,0.06463623,45.95117,476.0785,0.054534912,41.335938,445.06445,0.027648926,50.257812,446.35938,0.059753418,53.421875,461.2871,0.072143555,61.38867,471.24023,0.06707764,71.55859,459.55225,0.13183594,51.62964,454.39062,0.3491211,52.267822,434.85547,0.34960938
14,16.398438,419.09912,0.80615234,7.6289062,407.4043,0.2421875,12.467773,427.05078,0.2783203,41.259766,467.34473,0.054107666,53.14258,502.6797,0.05239868,44.291016,477.69434,0.04937744,35.20459,491.70996,0.103637695,45.010742,476.0785,0.041290283,41.335938,454.39062,0.029022217,53.8125,446.35938,0.05834961,63.882812,447.94922,0.07385254,61.8916,478.8086,0.08441162,71.55859,465.40625,0.12097168,64.640625,454.39062,0.32250977,52.267822,434.85547,0.16223145
15,23.976562,419.09912,0.6279297,6.4296875,404.7627,0.50341797,12.467773,427.05078,0.4777832,0.1328125,423.41016,0.103149414,44.06476,502.6797,0.022888184,33.089844,451.09717,0.08666992,18.308594,443.00293,0.08093262,45.010742,476.0785,0.03668213,46.203125,473.4297,0.027740479,57.29297,445.4297,0.062072754,63.882812,445.79102,0.073913574,61.8916,478.8086,0.062805176,71.76172,471.37695,0.14013672,68.45947,456.63867,0.4506836,52.267822,437.82812,0.16918945
16,30.365234,418.5039,0.5673828,6.4296875,404.7627,0.44091797,10.628906,427.05078,0.3005371,0.078125,418.14844,0.15783691,44.06476,502.6797,0.028640747,30.375,451.09717,0.03994751,18.308594,443.00293,0.061553955,45.010742,472.01172,0.03729248,40.53125,473.4297,0.023803711,58.585938,446.35938,0.05496216,69.50781,447.94922,0.052978516,64.57422,478.8086,0.077941895,73.740234,471.37695,0.17260742,68.45947,456.63867,0.4868164,38.53711,514.7002,0.36376953
17,32.304688,416.53516,0.578125,6.4296875,403.08594,0.3852539,10.628906,427.4297,0.17614746,-0.6796875,417.6289,0.11541748,44.06476,472.58008,0.032104492,30.375,451.09717,0.07330322,18.308594,443.00293,0.12017822,44.733887,470.58594,0.049682617,13.161133,406.91406,0.060302734,58.585938,448.9961,0.062316895,63.882812,447.94922,0.059173584,72.75195,478.8086,0.07110596,75.01904,474.6123,0.26245117,68.45947,458.33594,0.4116211,38.53711,515.72144,0.51904297
